COSTOS BARATERO ,,,,
CONS.,C.B.A,DESCRIPCIÓN,UNIDAD DE MEDIDA, PRECIO UNITARIO 
PAN Y TORTILLA ,480 406 2000 00,Pan tostado de caja (210 g / 14 reb),PAQUETE DE 210 g,
PAN Y TORTILLA ,480 405 0600 00,Tortilla de maíz (1000 g),KILO,
PAN Y TORTILLA ,480 406 2800 00,Tortilla de harina de trigo (520 g/20 pzas),PAQUETE DE 20 PZAS,
PAN Y TORTILLA ,480 406 2900 01,Tortilla de harina de trigo integral (560 g/22 pzas),PAQUETE DE 22 PZAS,
PAN Y TORTILLA ,480 405 0600 00,Tostada (paquete 0.324 g),PAQUETE DE 324 g,
BOX LUNCH,481 101 0100 00 ,"Dieta tipo A Normal para donadores, onocologicos, embarazadas",PIEZA ,
BOX LUNCH,481 102 0101 00,"Dieta tipo B  Blanda, hiposódica para corta estancia ",PIEZA ,
BOX LUNCH,481 103 0101 00,"Dieta tipo C Baja en grasa, para diabético ",PIEZA ,
FÓRMULAS LÁCTEAS ,480 109 0200 00,Albúmina Deshidratada 500 g,ENVASE DE 500 g,
FÓRMULAS LÁCTEAS ,010.000.0022.00,Caseinato de Calcio (100 g),ENVASE DE 100 g,
FÓRMULAS LÁCTEAS ,010.000.2736.00,Dieta Elemental en polvo (80.4 g),SOBRE DE 80.4 g,
FÓRMULAS LÁCTEAS ,"010.000.5391.00	",Dieta Polimérica Sin Fibra en polvo (900 g),ENVASE DE 900 g,
FÓRMULAS LÁCTEAS ,030.000.0014.00,Fórmula de Continuación Etapa 2 (454 g),ENVASE DE 454 g,
FÓRMULAS LÁCTEAS ,030.000.0011.00,Fórmula de Inicio Etapa 1  Polvo (800 g),ENVASE DE 800 g,
FÓRMULAS LÁCTEAS ,030.000.0013.00,Fórmula para lactantes con Proteína extensamente hidrolizada en polvo (450 g),ENVASE DE 450 g,
FÓRMULAS LÁCTEAS ,030.000.0003.00,Fórmula de Prematuro  Polvo (463 g),ENVASE DE 463 g,
FÓRMULAS LÁCTEAS ,030.000.0012.00,Fórmula Sin Lactosa Polvo (454 g),ENVASE DE 454 g,
FÓRMULAS LÁCTEAS ,,Maltodextrina 100 %,EMPAQUE DE 1000 g,
OTROS,,,,
,,Masa para tamal,KILO,
,,CHILE PIMIENTO MORRON VERDE,KILO,
,,CHILE PIMIENTO MORRON ROJO,KILO,
,,PIMIENTO MORRON AMARILLO,KILO,
,,NARANJA AGRIA,KILO,
,,CARNE MOLIDA DE RES ,KILO,
,,fresa,kilo,
,,MILANESA DE POLLO,KILO,
,,POLLOS ENTEROS PIEZAS DE 2.5 KG,KILO,
,,PULPA DE RES,KILO,
,,HUEVO REJA CON 30 PIEZAS,KILO,
,,YOGURTH CREMOSO DE DIFERENTES SABORES BOTE DE 125 GRAMOS,PIEZA,
,,TAMARINDO EN PULPA,KILO,
,,CUERNITOS DE SAL GRANDES,PIEZA,
,,PAN DULCE,PIEZA,
,,BOLSA DE NYLON TRANSPARENTEE 20X30,KILO,
,,CLORO 6% CEONCENTRADO DE 950ML MARCA CLARASOL,PIEZA,
,,FIBRAS VERDES SIN ESPONJA,PIEZA,
,,TOALLA INTERDOBLADA SANITAS DE 24CM x 21CM C/20PAQ C/100 PZAS,CAJA,
,,Pulpa de cerdo,KILOGRAMO,
,,CALABAZA CRIOLLA ,KILO,
,,CHILE HABANERO,KILO,
,,CHILE PIMIENTO MORRON ROJO,KILO,
,,CHILE PIMIENTO MORRON VERDE,KILO,
,,LONGANIZA,KILO,
,,MARACUYA EN PULPA,KILO,
,,YUCA,KILO,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
